seed,trial,condition,n_base,n_stim,noframe_steps,valid,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape,escape_onset_ms,h2_onset_ok
2026,0,grating_R,99,98,0,True,24160.377551020407,24714.383838383837,-7.874665017522162,20.408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.874665017522162,0.0,0.0,,False
2026,1,disc,100,102,0,True,24489.470588235294,24700.11,4.9411764705882355,27.941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9411764705882355,0.0,0.0,,False
2026,2,disc,98,103,0,True,24513.009708737864,24696.23469387755,-3.2296413711115513,23.300970873786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2296413711115513,0.0,0.0,,False
2026,3,bright_R,98,100,0,True,24266.6,24745.438775510203,-11.602040816326532,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.602040816326532,0.0,0.0,,False
2026,4,grating_R,102,98,0,True,24164.30612244898,24769.480392156864,-3.021208483393359,22.959183673469386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.021208483393359,0.0,0.0,,False
2026,5,bright_R,103,97,0,True,24230.288659793816,24726.194174757282,-10.204183765388851,16.49484536082474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.204183765388851,0.0,0.0,,False
2026,6,grey,102,98,0,True,24710.102040816328,24736.696078431374,3.4113645458183264,24.489795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4113645458183264,0.0,0.0,,False
2026,7,loom,102,98,0,True,24450.030612244896,24744.480392156864,0.590236094437774,27.551020408163264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.590236094437774,0.0,0.0,,False
2026,8,grating_R,102,97,0,True,24162.25773195876,24710.86274509804,-2.5217303416211827,18.556701030927837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5217303416211827,0.0,0.0,,False
2026,9,grating_L,102,97,0,True,24091.422680412372,24694.549019607843,-4.8211036992116405,21.649484536082475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8211036992116405,0.0,0.0,,False
2026,10,grating_R,103,98,0,True,24146.724489795917,24709.106796116506,-10.659797899742422,20.408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.659797899742422,0.0,0.0,,False
2026,11,bright_L,102,99,0,True,24190.929292929293,24752.29411764706,-2.243018419489008,23.737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.243018419489008,0.0,0.0,,False
2026,12,grating_R,99,102,0,True,24094.676470588234,24727.727272727272,-4.174093879976233,21.07843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174093879976233,0.0,0.0,,False
2026,13,loom,101,98,0,True,24475.785714285714,24718.10891089109,1.7478278440088921,25.510204081632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7478278440088921,0.0,0.0,,False
2026,14,recede,98,100,0,True,24381.81,24750.29591836735,-6.122448979591837,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.122448979591837,0.0,0.0,,False
2026,15,disc,103,100,0,True,24516.31,24738.941747572815,-1.2572815533980588,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2572815533980588,0.0,0.0,,False
2026,16,grey,99,101,0,True,24717.435643564357,24731.727272727272,2.3502350235023535,33.663366336633665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3502350235023535,0.0,0.0,,False
2026,17,grey,101,97,0,True,24688.41237113402,24689.544554455446,-2.505869143615392,24.22680412371134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.505869143615392,0.0,0.0,,False
2026,18,grating_L,100,100,0,True,24102.27,24703.1,-4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,False
2026,19,bright_L,102,101,0,True,24197.227722772277,24692.686274509804,-10.085420306736555,21.287128712871286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.085420306736555,0.0,0.0,,False
2026,20,grating_R,98,101,0,True,24161.168316831685,24724.285714285714,-1.1618508789654491,21.287128712871286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1618508789654491,0.0,0.0,,False
2026,21,bright_L,100,97,0,True,24224.463917525773,24718.18,2.8659793814432994,28.8659793814433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8659793814432994,0.0,0.0,,False
2026,22,bright_R,101,102,0,True,24234.098039215685,24741.188118811882,-4.144826247330613,18.627450980392158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.144826247330613,0.0,0.0,,False
2026,23,disc,97,102,0,True,24474.745098039217,24728.845360824744,-2.784515868202952,24.019607843137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.784515868202952,0.0,0.0,,False
2026,24,grey,100,101,0,True,24663.09900990099,24689.67,-4.237623762376238,23.762376237623762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.237623762376238,0.0,0.0,,False
2026,25,loom,99,102,0,True,24443.225490196077,24715.636363636364,-5.7783719548425445,24.019607843137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7783719548425445,0.0,0.0,,False
2026,26,recede,99,98,0,True,24427.163265306124,24694.939393939392,-3.3034425891568766,22.959183673469386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3034425891568766,0.0,0.0,,False
2026,27,recede,100,101,0,True,24406.019801980197,24681.49,-0.21782178217821624,21.782178217821784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21782178217821624,0.0,0.0,,False
2026,28,grating_L,102,98,0,True,24132.836734693876,24659.460784313724,-8.513405362144859,20.408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.513405362144859,0.0,0.0,,False
2026,29,grating_R,100,100,0,True,24147.04,24728.5,-2.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,False
2026,30,recede,100,100,0,True,24411.66,24720.77,-6.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,,False
2026,31,grating_L,101,98,0,True,24142.602040816328,24717.980198019803,-1.1466963022832886,28.06122448979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1466963022832886,0.0,0.0,,False
2026,32,bright_L,102,99,0,True,24287.10101010101,24709.13725490196,-1.6488413547237073,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6488413547237073,0.0,0.0,,False
2026,33,bright_L,100,98,0,True,24193.979591836734,24740.0,-4.102040816326532,19.897959183673468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102040816326532,0.0,0.0,,False
2026,34,grating_R,103,101,0,True,24137.059405940596,24722.766990291264,-7.925598385081226,16.831683168316832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.925598385081226,0.0,0.0,,False
2026,35,loom,98,101,0,True,24445.079207920793,24713.591836734693,-7.809658516872094,21.782178217821784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.809658516872094,0.0,0.0,,False
2026,36,grating_L,100,100,0,True,24145.9,24715.52,-8.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,,False
2026,37,disc,98,100,0,True,24498.37,24724.38775510204,-10.602040816326532,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.602040816326532,0.0,0.0,,False
2026,38,bright_R,101,101,0,True,24244.673267326732,24722.19801980198,-4.455445544554454,20.792079207920793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455445544554454,0.0,0.0,,False
2026,39,grating_L,99,102,0,True,24134.313725490196,24726.646464646463,-8.630421865715984,18.137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.630421865715984,0.0,0.0,,False
2026,40,disc,98,99,0,True,24473.10101010101,24707.70408163265,-3.2828282828282838,21.717171717171716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2828282828282838,0.0,0.0,,False
2026,41,loom,103,98,0,True,24416.54081632653,24690.533980582524,-4.349118288091937,20.408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.349118288091937,0.0,0.0,,False
2026,42,recede,102,97,0,True,24401.268041237112,24685.098039215685,-6.73135233474833,22.68041237113402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73135233474833,0.0,0.0,,False
2026,43,recede,100,101,0,True,24378.871287128713,24678.12,-2.7326732673267315,23.26732673267327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7326732673267315,0.0,0.0,,False
