seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,93,grating_L,50,100,28258.08,29392.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,3.5,-20.5,11.0,0.0,0.0,0.0
2026,94,loom,50,100,29652.69,28485.4,-0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,13.75,22.75,34.75,0.5,0.0,22.75
2026,95,bright_R,50,100,28010.23,29435.8,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5,1.0,-21.25,6.25,-1.0,0.0,0.0
2026,96,bright_R,50,100,27859.41,28241.02,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,1.75,-4.0,7.5,-1.0,0.0,0.0
2026,97,loom,50,100,29571.76,28410.88,-0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,9.75,14.0,28.5,0.5,0.0,14.0
2026,98,loom,50,100,29673.44,29411.4,-0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,13.0,3.25,31.25,0.5,0.0,3.5
2026,99,bright_L,50,100,28033.04,29542.64,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,3.5,-14.75,11.75,-11.0,0.0,0.0
2026,100,grating_R,50,100,28013.27,28425.92,-0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,2.25,2.25,10.75,0.5,0.0,2.25
2026,101,grating_R,50,100,28060.99,28417.4,-0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.25,0.75,-7.5,6.5,0.5,0.0,0.0
2026,102,grating_L,50,100,28141.32,28386.02,-1.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,1.5,0.0,1.0
2026,103,grating_L,50,100,28059.5,28388.16,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,2.5,-5.75,11.25,-4.0,0.0,0.0
2026,104,grey,50,100,28942.95,28531.06,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.75,3.75,22.25,1.0,0.0,3.75
2026,105,grating_L,50,100,28202.03,28971.42,0.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,3.25,-7.75,13.25,-0.5,0.0,0.0
2026,106,disc,50,100,29326.04,28609.16,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,13.5,27.0,36.5,-4.0,0.0,27.0
2026,107,disc,50,100,29423.53,29461.7,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,0.75,24.75,-2.0,0.0,0.75
2026,108,grey,50,100,29449.38,29481.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,8.75,-0.75,27.25,-2.0,0.0,0.0
2026,109,grey,50,100,28817.67,29453.42,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,26.5,-1.0,0.0,0.0
2026,110,bright_L,50,100,28315.45,29455.48,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,4.0,-14.5,14.0,-4.0,0.0,0.0
2026,111,loom,50,100,29647.88,28512.1,-5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,15.25,20.0,36.5,5.5,0.0,20.0
2026,112,grey,50,100,29503.6,29646.5,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,8.25,-10.25,28.25,-3.0,0.0,0.0
2026,113,loom,50,100,29771.86,29517.22,2.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,14.5,1.5,37.0,-2.5,0.0,1.5
2026,114,grating_L,50,100,28509.54,29611.54,1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,5.5,-22.5,16.5,-1.5,0.0,0.0
2026,115,loom,50,100,29689.46,28833.12,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,17.0,34.5,-0.5,0.0,17.0
2026,116,grating_L,50,100,28470.43,29677.18,0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,5.0,-26.75,16.25,-0.5,0.0,0.0
2026,117,loom,50,100,29666.65,28720.58,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,15.75,21.0,38.5,-4.0,0.0,21.0
2026,118,grating_L,50,100,28580.28,29694.04,12.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.75,3.75,-16.5,16.0,-12.5,0.0,0.0
2026,119,loom,50,100,29737.05,28792.78,-0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,14.75,17.75,37.25,0.5,0.0,17.75
2026,120,bright_L,50,100,28435.2,29684.88,8.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,4.75,-24.0,16.0,-8.5,0.0,0.0
2026,121,bright_L,50,100,28306.4,28652.98,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.5,-5.25,11.75,-4.0,0.0,0.0
2026,122,loom,50,100,29701.62,28826.24,-3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,17.0,21.0,43.0,3.0,0.0,21.0
2026,123,loom,50,100,29803.85,29754.18,3.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.5,-4.25,39.75,-3.5,0.0,0.0
2026,124,grey,50,100,29608.5,29739.46,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,13.25,-2.5,32.5,3.0,0.0,0.0
2026,125,grey,50,100,29651.48,29614.16,4.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,11.75,-6.25,30.75,-4.5,0.0,0.0
2026,126,bright_L,50,100,28658.47,29637.74,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,5.0,-20.75,18.75,-9.0,0.0,0.0
2026,127,grating_L,50,100,28641.65,28907.96,-2.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,4.75,-2.0,16.0,2.5,0.0,0.0
2026,128,grating_L,50,100,28657.39,29000.54,-1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,5.25,-8.75,15.25,1.5,0.0,0.0
2026,129,bright_R,50,100,28572.43,29009.9,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.25,3.75,-16.5,13.5,-2.0,0.0,0.0
2026,130,bright_L,50,100,28526.29,28954.16,2.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5,2.0,-13.0,11.5,-2.5,0.0,0.0
