seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,175,loom,50,100,10359.09,9865.52,0.0,1.0,4.5,10.5,2.0,7.0,-1.0,5.0,-1.25,11.5,2.5,31.0,5.5,15.0,-0.25,1.25,0.75,27.25,4.5,0.5,5.5
2026,176,loom,50,100,10330.01,10272.64,0.5,0.5,0.0,6.0,4.0,9.0,0.0,5.0,-1.375,10.375,-4.0,29.5,4.75,13.75,-0.75,0.75,0.75,31.75,-0.5,2.0,4.75
2026,177,disc,50,100,10135.39,10789.4,-1.5,0.5,-3.5,11.5,0.0,6.0,-2.5,1.5,-0.5,12.25,-0.75,28.25,-2.0,12.5,1.5,1.5,-3.25,30.25,-2.0,-1.25,1.5
2026,178,grating_L,50,100,9681.27,10421.5,0.0,0.0,-4.5,8.5,0.0,7.0,-0.5,2.5,1.75,13.0,-8.75,26.75,0.25,10.75,-0.5,0.5,-4.25,28.75,-4.5,-0.25,1.75
2026,179,loom,50,100,10204.93,9480.5,-0.5,1.5,2.5,10.5,1.0,7.0,0.5,4.5,-0.375,11.875,6.25,31.75,1.75,11.25,1.25,1.75,1.75,29.25,3.0,0.75,6.25
2026,180,bright_L,50,100,9709.44,10545.9,0.0,0.0,1.0,9.0,-3.5,4.5,-3.5,2.5,0.125,12.125,-3.25,25.25,-3.25,10.25,-1.5,0.5,-3.5,28.0,1.0,-3.5,0.125
2026,181,grey,50,100,10296.09,9609.76,-1.0,1.0,6.5,12.5,-0.5,3.5,1.5,4.5,-3.375,10.875,-1.0,28.5,1.0,12.0,0.25,0.75,1.25,28.75,7.5,0.5,1.25
2026,182,bright_L,50,100,9148.82,10498.2,-1.0,0.0,-7.5,4.5,-5.5,4.5,-1.0,4.0,-2.5,10.25,-3.25,25.75,-6.25,8.75,-1.25,0.25,0.5,27.0,-6.5,-3.25,0.5
2026,183,grating_R,50,100,9552.89,9628.22,1.5,1.5,1.0,9.0,0.0,5.0,-1.0,4.0,2.125,12.375,-2.5,25.0,0.5,9.5,-1.5,0.5,-2.25,27.25,-0.5,-0.5,2.125
2026,184,disc,50,100,9624.37,9414.7,1.5,1.5,0.0,7.0,-3.5,3.5,1.0,4.0,-0.5,10.5,1.25,28.25,2.25,10.25,1.0,1.5,0.25,26.25,-1.5,-1.25,2.25
2026,185,grating_R,50,100,9439.72,10171.78,0.0,1.0,-4.5,6.5,-4.5,5.5,1.0,4.0,1.75,12.0,-1.25,24.75,0.0,8.5,-0.5,1.0,-2.75,25.25,-4.5,-1.75,1.75
2026,186,loom,50,100,10436.63,9210.3,0.5,0.5,0.5,9.5,4.5,7.5,0.0,4.0,3.875,14.125,13.0,33.5,3.25,12.25,0.5,1.5,2.75,28.75,0.0,2.25,13.0
2026,187,grating_R,50,100,9611.78,10440.7,-3.0,1.0,-4.0,7.0,3.0,6.0,3.0,6.0,-1.875,11.625,-5.75,23.75,-3.5,8.5,0.5,1.0,1.5,28.5,-1.0,3.0,1.5
2026,188,grating_R,50,100,9580.23,9539.86,0.5,0.5,2.5,8.5,2.5,6.5,1.5,4.5,0.375,10.875,3.5,27.0,2.0,10.5,-1.0,0.0,-1.0,28.0,2.0,2.0,3.5
2026,189,bright_L,50,100,9168.23,9674.76,-1.0,0.0,-2.0,7.0,0.5,3.5,-2.0,3.0,0.0,9.75,-3.75,25.75,-4.5,7.0,0.0,1.0,-5.0,24.5,-1.0,-0.75,0.0
2026,190,grating_R,50,100,9269.88,9724.82,1.0,1.0,-5.5,3.5,5.0,5.0,-1.0,4.0,-1.5,10.25,-5.25,25.25,0.5,8.5,0.0,1.0,-0.25,26.25,-6.5,2.0,0.5
2026,191,loom,50,100,10198.39,9425.94,1.0,1.0,2.0,10.0,4.0,7.0,1.0,4.0,-0.125,12.125,5.25,31.25,1.5,11.0,-1.75,0.75,4.0,30.5,1.0,2.5,5.25
2026,192,disc,50,100,9877.56,10405.9,-0.5,0.5,-6.5,6.5,2.0,5.0,3.5,5.5,-3.5,9.5,-3.0,30.0,-3.5,8.5,0.0,1.0,-0.5,29.5,-6.0,2.75,0.0
2026,193,bright_L,50,100,9554.58,10524.42,0.5,1.5,-1.0,8.0,1.0,6.0,-1.5,3.5,0.625,10.375,-2.75,27.25,-5.0,9.0,0.0,1.0,1.0,30.0,-1.5,-0.25,1.0
2026,194,grey,50,100,10218.97,9330.52,0.0,1.0,1.5,9.5,2.0,5.0,-3.0,4.0,1.0,12.0,8.0,32.5,4.25,12.75,0.5,1.0,2.5,30.5,1.5,-0.5,8.0
2026,195,bright_R,50,100,8691.05,10137.06,-1.5,0.5,-0.5,3.5,3.0,6.0,-2.5,3.5,-0.875,10.375,-13.25,19.75,-7.25,5.75,0.0,0.5,-3.75,24.75,1.0,0.25,0.0
2026,196,grey,50,100,10034.12,8723.54,-0.5,0.5,4.0,8.0,1.0,5.0,-0.5,4.5,0.25,12.25,10.25,30.25,5.75,11.25,0.75,0.75,0.75,27.75,4.5,0.25,10.25
2026,197,bright_R,50,100,8577.79,10276.46,1.0,1.0,-6.0,2.0,-5.5,2.5,0.5,3.5,-1.625,9.625,-12.25,20.25,-2.25,8.25,-1.0,1.0,-3.25,27.75,-7.0,-2.5,-1.0
2026,198,bright_R,50,100,8653.64,9194.24,0.0,0.0,-3.5,2.5,0.5,4.5,0.0,4.0,-0.375,10.375,-0.5,23.5,0.75,6.75,0.75,0.75,-3.5,24.0,-3.5,0.25,0.75
2026,199,disc,50,100,9672.17,9079.94,0.0,0.0,1.0,7.0,3.0,5.0,2.5,4.5,0.625,11.875,6.75,29.75,-1.25,7.75,0.75,2.25,-2.25,27.25,1.0,2.75,6.75
2026,200,bright_R,50,100,8945.73,10055.02,0.0,1.0,-1.0,5.0,-1.0,5.0,-2.5,2.5,-2.875,10.375,-6.25,22.25,-4.0,8.5,0.25,0.75,-4.25,24.75,-1.0,-1.75,0.25
2026,201,bright_L,50,100,9010.79,8727.66,0.5,0.5,3.0,10.0,0.5,5.5,1.0,4.0,3.375,10.625,4.75,22.25,-1.0,7.5,0.75,1.25,3.0,25.0,2.5,0.75,4.75
2026,202,bright_L,50,100,9054.35,9040.98,0.5,1.5,2.0,5.0,2.5,4.5,-1.5,3.5,-1.0,10.75,-2.25,24.25,2.5,9.0,0.75,1.25,-0.75,26.75,1.5,0.5,2.5
2026,203,grating_L,50,100,9392.88,9845.66,1.0,1.0,-2.5,6.5,-1.0,6.0,-2.5,4.5,-1.75,11.25,-2.5,23.5,-5.75,7.75,-0.25,0.75,-4.0,26.0,-3.5,-1.75,-0.25
2026,204,grating_R,50,100,9137.18,9385.18,0.0,0.0,1.5,6.5,-5.0,2.0,3.0,5.0,-0.875,11.875,1.75,25.75,-3.0,6.0,0.75,0.75,2.5,27.0,1.5,-1.0,2.5
2026,205,bright_L,50,100,9415.73,9536.02,1.0,1.0,3.5,8.5,2.0,5.0,-1.5,3.5,0.25,9.75,-4.0,22.5,2.75,11.25,-0.25,1.75,-0.5,27.5,2.5,0.25,2.75
2026,206,bright_R,50,100,8939.35,9084.78,0.5,1.5,2.0,9.0,3.0,7.0,0.5,4.5,-0.25,10.5,1.5,24.5,1.5,8.0,0.25,0.75,3.25,27.25,1.5,1.75,3.25
2026,207,bright_R,50,100,9136.78,9379.68,0.5,0.5,-0.5,6.5,0.0,5.0,0.0,3.0,-2.75,9.5,2.0,23.0,1.0,9.5,0.5,0.5,0.5,28.0,-1.0,0.0,2.0
2026,208,loom,50,100,10533.25,8998.38,1.0,1.0,8.5,10.5,0.0,7.0,0.0,4.0,5.0,14.0,5.75,30.25,3.75,12.75,-0.25,0.25,6.5,33.0,7.5,0.0,6.5
2026,209,grating_L,50,100,9511.56,10384.62,0.0,1.0,3.5,10.5,0.0,4.0,-4.0,2.0,-0.75,12.5,-6.25,24.25,-3.25,8.75,-0.25,1.25,-1.0,28.5,3.5,-2.0,-0.25
